X,CH1
649,4.84
650,4.48
651,5.32
652,4.88
653,4.92
654,4.76
655,5.24
656,4.92
657,4.88
658,5.24
659,4.6
660,4.92
661,4.88
662,4.48
663,5.36
664,4.68
665,5.24
666,4.88
667,5
668,5.24
669,4.64
670,4.84
671,4.92
672,4.48
673,5.32
674,4.88
675,4.92
676,4.84
677,5.24
678,4.92
679,4.88
680,5.16
681,4.56
682,4.48
683,5.32
684,5.24
685,4.68
686,4.68
687,5.2
688,4.96
689,4.84
690,5.24
691,4.52
692,4.96
693,4.84
694,4.48
695,5.4
696,4.92
697,4.88
698,4.72
699,5.24
700,4.92
701,4.88
702,4.56
703,5.2
704,4.48
705,5.36
706,5.2
707,4.76
708,5.24
709,4.64
710,4.88
711,4.96
712,4.48
713,5.36
714,4.88
715,4.92
716,4.8
717,5.24
718,4.88
719,4.92
720,5.24
721,4.6
722,4.92
723,4.88
724,4.48
725,5.36
726,4.72
727,5.24
728,4.84
729,5.04
730,5.24
731,4.52
732,4.96
733,4.84
734,5.24
735,4.52
736,4.88
737,4.96
738,5.24
739,4.64
740,4.92
741,4.88
742,4.48
743,5.4
744,4.92
745,4.88
746,4.68
747,5.24
748,5.24
749,4.52
750,4.96
751,4.84
752,4.48
753,5.4
754,4.96
755,4.84
756,4.72
757,5.24
758,4.88
759,4.96
760,5.24
761,4.64
762,4.92
763,4.88
764,4.48
765,5.32
766,4.88
767,5.24
768,4.52
769,5.24
770,4.68
771,5.2
772,4.96
773,4.84
774,4.48
775,5.4
776,4.88
777,4.96
778,4.76
779,5.24
780,4.88
781,4.96
782,5.2
783,4.56
784,4.88
785,4.96
786,4.48
787,5.32
788,4.68
789,5.24
790,5.04
791,4.8
792,4.68
793,5.24
794,4.96
795,4.84
796,5.28
797,4.52
798,4.88
799,4.96
800,4.48
801,5.32
802,4.88
803,4.96
804,5.36
805,4.52
806,4.88
807,4.96
808,4.76
809,5.24
810,4.68
811,5.24
812,5.08
813,4.84
814,5.24
815,4.64
816,4.96
817,4.84
818,4.56
819,5.28
820,4.88
821,4.96
822,4.48
823,5.36
824,4.88
825,4.96
826,5.4
827,4.52
828,4.88
829,4.96
830,5.2
831,4.68
832,4.68
833,5.2
834,4.84
835,5.04
836,4.68
837,5.24
838,4.96
839,4.84
840,5.2
841,4.6
842,4.88
843,4.96
844,5.24
845,4.64
846,4.88
847,4.96
848,5.24
849,4.56
850,4.96
851,4.88
852,4.48
853,5.32
854,4.48
855,5.36
856,4.96
857,4.84
858,5.24
859,4.68
860,4.84
861,4.96
862,4.76
863,5.24
864,4.88
865,4.96
866,5.24
867,4.72
868,4.96
869,4.88
870,4.76
871,5.24
872,4.96
873,4.76
874,5.24
875,4.84
876,5.24
877,4.52
878,4.96
879,4.84
880,4.8
881,5.24
882,4.96
883,4.88
884,4.68
885,5.24
886,4.88
887,5
888,4.68
889,5.24
890,4.96
891,4.88
892,4.68
893,5.2
894,4.68
895,5.24
896,5.2
897,4.68
898,4.68
899,5.24
900,4.88
901,5
902,4.68
903,5.24
904,4.88
905,5
906,4.68
907,5.24
908,4.96
909,4.88
910,4.68
911,5.24
912,4.96
913,4.88
914,4.48
915,5.4
916,4.88
917,5
918,4.88
919,4.96
920,4.88
921,5
922,4.88
923,4.96
924,4.96
925,4.88
926,4.88
927,4.96
928,4.88
929,5
930,4.96
931,4.88
932,4.88
933,5
934,4.88
935,5
936,4.96
937,4.88
938,4.88
939,4.96
940,4.88
941,4.96
942,4.88
943,5
944,4.88
945,4.96
946,4.88
947,4.96
948,4.96
949,4.88
950,4.88
951,4.96
952,4.88
953,5
954,4.96
955,4.88
956,4.88
957,4.96
958,4.88
959,4.96
960,4.96
961,4.88
962,4.96
963,4.88
964,4.96
965,4.88
966,4.88
967,5
968,4.96
969,4.88
970,4.88
971,4.96
972,4.96
973,4.88
974,4.88
975,4.96
976,4.88
977,4.96
978,4.96
979,4.88
980,4.88
981,4.96
982,4.88
983,5
984,4.96
985,4.88
986,4.88
987,5
988,4.96
989,4.88
990,4.88
991,4.96
992,4.88
993,4.96
994,4.88
995,4.96
996,4.88
997,4.96
998,4.96
999,4.88
1000,4.96
1001,4.88
1002,4.88
1003,4.96
1004,4.96
1005,4.88
1006,4.88
1007,4.96
1008,4.88
1009,4.96
1010,4.88
1011,4.96
1012,4.88
1013,4.96
1014,5
1015,4.88
1016,4.96
1017,4.88
1018,4.88
1019,4.96
1020,4.96
1021,4.88
1022,4.88
1023,4.96
1024,4.96
1025,4.88
1026,4.88
1027,5
1028,4.88
1029,4.96
1030,4.96
1031,4.88
1032,4.88
1033,4.96
1034,4.88
1035,5
1036,4.96
1037,4.88
1038,4.96
1039,4.88
1040,4.96
1041,4.88
1042,4.88
1043,4.96
1044,4.96
1045,4.88
1046,4.96
1047,4.88
1048,4.88
1049,4.96
1050,4.88
1051,4.96
1052,4.88
1053,4.96
1054,4.88
1055,5
1056,4.88
1057,4.96
1058,4.88
1059,4.96
1060,4.88
1061,4.96
1062,4.88
1063,4.96
1064,4.88
1065,4.96
1066,4.88
1067,4.96
1068,4.88
1069,4.96
1070,4.88
1071,4.96
1072,4.88
1073,4.96
1074,4.88
1075,5
1076,4.88
1077,4.96
1078,4.88
1079,4.96
1080,4.96
1081,4.88
1082,4.88
1083,4.96
1084,4.88
1085,5
1086,4.88
1087,4.96
1088,4.88
1089,4.96
1090,4.88
1091,4.96
1092,4.88
1093,4.96
1094,4.88
1095,5
1096,4.96
1097,4.88
1098,4.88
1099,5
1100,4.96
1101,4.88
1102,4.88
1103,4.96
1104,4.96
1105,4.88
1106,4.88
1107,4.96
1108,4.88
1109,4.96
1110,4.88
1111,4.96
1112,4.96
1113,4.88
1114,4.88
1115,5
1116,4.88
1117,5
1118,4.88
1119,4.96
1120,4.88
1121,4.96
1122,4.96
1123,4.88
1124,4.88
1125,4.96
1126,4.88
1127,4.96
1128,4.88
1129,4.96
1130,4.88
1131,4.96
1132,4.88
1133,4.96
1134,4.88
1135,4.96
1136,4.88
1137,4.96
1138,4.88
1139,4.96
1140,5
1141,4.88
1142,4.88
1143,4.96
1144,4.88
1145,4.96
1146,4.88
1147,4.96
1148,4.88
1149,4.96
1150,4.88
1151,5
1152,4.88
1153,4.96
1154,4.88
1155,4.96
1156,4.88
1157,4.96
1158,4.88
1159,4.96
1160,4.88
1161,4.96
1162,4.88
1163,4.96
1164,4.96
1165,4.88
1166,4.88
1167,4.96
1168,4.88
1169,4.96
1170,4.88
1171,4.96
1172,4.96
1173,4.88
1174,4.96
1175,4.88
1176,4.96
1177,4.88
1178,4.88
1179,4.96
1180,4.96
1181,4.88
1182,4.96
1183,4.88
1184,4.88
1185,4.96
1186,4.88
1187,4.96
1188,4.88
1189,4.96
1190,4.88
1191,4.96
1192,4.88
1193,4.96
1194,4.88
1195,4.96
1196,4.96
1197,4.88
1198,4.88
1199,5
